wals.code	glottocode	name	latitude	longitude	macroarea	genus	family	sample 100	sample 200
olo	oloo1241	Olo	-3.416666667	142	Papunesia	Wapei-Palei	Torricelli	FALSE	FALSE
toq	toab1237	Toqabaqita	-8.416666667	160.5833333	Papunesia	Oceanic	Austronesian	FALSE	FALSE
auy	awiy1238	Auyana	-6.5	145.75	Papunesia	Eastern Highlands	Trans-New Guinea	FALSE	FALSE
usr	usar1243	Usarufa	-6.416666667	145.5833333	Papunesia	Eastern Highlands	Trans-New Guinea	FALSE	FALSE
paw	pawa1255	Pawaian	-7	145.0833333	Papunesia	Pawaian	Teberan-Pawaian	FALSE	FALSE
krf	kora1294	Korafe	-9.05	149.0833333	Papunesia	Binanderean	Trans-New Guinea	FALSE	FALSE
kpm	pamp1243	Kapampangan	15.33333333	120.5	Papunesia	Central Luzon	Austronesian	FALSE	FALSE
grs	garu1246	Garus	-4.95	145.6666667	Papunesia	Madang	Trans-New Guinea	FALSE	FALSE
mng	mang1405	Manggarai	-8.5	120.3333333	Papunesia	Central Malayo-Polynesian	Austronesian	FALSE	FALSE
nnk	nank1250	Nankina	-5.783333333	146.45	Papunesia	Finisterre-Huon	Trans-New Guinea	FALSE	FALSE
mta	buka1257	Mentuh Tapuh	1.25	111	Papunesia	Land Dayak	Austronesian	FALSE	FALSE
yes	yess1239	Yessan-Mayo	-4.166666667	142.5833333	Papunesia	Tama Sepik	Sepik	FALSE	FALSE
tab	east2440	Taba	0	127.5	Papunesia	South Halmahera - West New Guinea	Austronesian	FALSE	TRUE
slp	sele1250	Selepet	-6.166666667	147.1666667	Papunesia	Finisterre-Huon	Trans-New Guinea	FALSE	FALSE
trd	tora1261	Toraja	-3	119.75	Papunesia	South Sulawesi	Austronesian	FALSE	FALSE
gll	gale1259	Galela	2.416666667	128.3333333	Papunesia	North Halmaheran	West Papuan	FALSE	FALSE
wbn	wamb1259	Wambon	-5.5	140.4166667	Papunesia	Awju-Dumut	Trans-New Guinea	FALSE	FALSE
rov	rovi1238	Roviana	-8.25	157.3333333	Papunesia	Oceanic	Austronesian	FALSE	FALSE
gog	gogo1265	Gogodala	-8.083333333	142.8333333	Papunesia	Gogodala	Gogodala-Suki	FALSE	FALSE
dad	dadi1250	Dadibi	-6.55	144.5833333	Papunesia	Teberan	Teberan-Pawaian	FALSE	FALSE
hoa	hoav1238	Hoava	-8.083333333	157.5	Papunesia	Oceanic	Austronesian	FALSE	FALSE
ckh	chek1238	Cheke Holo	-8.333333333	159.6666667	Papunesia	Oceanic	Austronesian	FALSE	FALSE
kie	kire1240	Kire	-4.25	144.75	Papunesia	Mikarew	Lower Sepik-Ramu	FALSE	FALSE
oro	orok1269	Orokaiva	-8.833333333	148.25	Papunesia	Binanderean	Trans-New Guinea	FALSE	FALSE
mug	barg1252	Bargam	-4.883333333	145.75	Papunesia	Madang	Trans-New Guinea	FALSE	FALSE
edo	edol1239	Edolo	-6.166666667	142.6666667	Papunesia	Bosavi	Bosavi	FALSE	FALSE
tll	taul1251	Taulil	-4.416666667	152.0833333	Papunesia	Taulil	Taulil	FALSE	FALSE
jab	yabe1254	Jabêm	-6.583333333	147.7833333	Papunesia	Oceanic	Austronesian	FALSE	FALSE
lgu	long1395	Longgu	-9.75	160.6666667	Papunesia	Oceanic	Austronesian	FALSE	FALSE
tso	tsou1248	Tsou	23.5	120.75	Papunesia	Tsou	Austronesian	FALSE	FALSE
ylm	yelm1242	Yelmek	-7.666666667	139.1666667	Papunesia	Bulaka River	Bulaka River	FALSE	FALSE
alk	arop1243	Arop-Lokep	-5.383333333	147.05	Papunesia	Oceanic	Austronesian	FALSE	FALSE
pms	paam1238	Paamese	-16.5	168.25	Papunesia	Oceanic	Austronesian	FALSE	TRUE
bui	buli1255	Buli (in Indonesia)	1	128.5	Papunesia	South Halmahera - West New Guinea	Austronesian	FALSE	FALSE
wrm	ware1253	Warembori	-1.666666667	137.5833333	Papunesia	South Halmahera - West New Guinea	Austronesian	FALSE	FALSE
adz	adze1240	Adzera	-6.25	146.25	Papunesia	Oceanic	Austronesian	FALSE	FALSE
kra	kara1486	Kara (in Papua New Guinea)	-2.833333333	151.1166667	Papunesia	Oceanic	Austronesian	FALSE	FALSE
kmn	kuma1280	Kuman	-5.916666667	145	Papunesia	Chimbu	Trans-New Guinea	FALSE	FALSE
gln	goli1247	Golin	-6.333333333	144.75	Papunesia	Chimbu	Trans-New Guinea	FALSE	FALSE
tba	sina1271	Tabare	-6.083333333	145	Papunesia	Chimbu	Trans-New Guinea	FALSE	FALSE
itw	itaw1240	Itawis	17.75	121.5	Papunesia	Northern Luzon	Austronesian	FALSE	FALSE
wwy	wara1300	Waray-Waray	12	125	Papunesia	Greater Central Philippine	Austronesian	FALSE	FALSE
sab	saba1265	Sa'ban	3.666666667	115.6666667	Papunesia	North Borneo	Austronesian	FALSE	FALSE
bik	biak1248	Biak	-1	136	Papunesia	South Halmahera - West New Guinea	Austronesian	FALSE	FALSE
tua	tuam1242	Tuamotuan	-17	-144	Papunesia	Oceanic	Austronesian	FALSE	FALSE
ame	amel1241	Amele	-5.25	145.5833333	Papunesia	Madang	Trans-New Guinea	TRUE	TRUE
kos	kosr1238	Kosraean	5.3	163	Papunesia	Oceanic	Austronesian	FALSE	FALSE
kta	koit1244	Koita	-9.333333333	147.0833333	Papunesia	Koiarian	Trans-New Guinea	FALSE	FALSE
tgb	tagb1258	Tagbanwa (Aborlan)	9.5	118.5	Papunesia	Greater Central Philippine	Austronesian	FALSE	FALSE
tpi	tokp1240	Tok Pisin	-9.5	147.1666667	Papunesia	Creoles and Pidgins	other	FALSE	FALSE
mgi	mail1248	Magi	-10.33333333	149.3333333	Papunesia	Mailuan	Trans-New Guinea	FALSE	FALSE
cvc	chav1241	Chavacano	7	122.0833333	Papunesia	Creoles and Pidgins	other	FALSE	FALSE
ktn	kete1254	Ketengban	-4.5	140.5	Papunesia	Mek	Trans-New Guinea	FALSE	FALSE
nag	yale1246	Nagatman	-3.75	141.5	Papunesia	Yale	Yale	FALSE	FALSE
guh	guhu1244	Guhu-Samane	-8	147.3333333	Papunesia	Binanderean	Trans-New Guinea	FALSE	FALSE
chb	cham1313	Chambri	-4.166666667	143.0833333	Papunesia	Lower Sepik	Lower Sepik-Ramu	FALSE	FALSE
kky	kank1243	Kankanay	16.75	120.5833333	Papunesia	Northern Luzon	Austronesian	FALSE	FALSE
mbo	nucl1458	Monumbo	-4.25	145	Papunesia	Monumbo	Monumbo	FALSE	FALSE
myn	maan1238	Ma'anyan	-2	115	Papunesia	Barito	Austronesian	FALSE	FALSE
tim	timu1262	Timugon	5	116	Papunesia	North Borneo	Austronesian	FALSE	FALSE
kyr	kark1258	Karkar-Yuri	-3.75	141.0833333	Papunesia	Eastern Pauwasi	Pauwasi	FALSE	FALSE
nim	nucl1633	Nimboran	-2.5	140.1666667	Papunesia	Nimboran	Nimboran	FALSE	FALSE
aba	abau1245	Abau	-4	141.25	Papunesia	Upper Sepik	Sepik	FALSE	FALSE
bau	bauu1244	Bau	-5.25	145.6166667	Papunesia	Madang	Trans-New Guinea	FALSE	FALSE
rnn	renn1242	Rennellese	-11.61666667	160.25	Papunesia	Oceanic	Austronesian	FALSE	FALSE
lav	lavu1241	Lavukaleve	-9.083333333	159.2	Papunesia	Lavukaleve	Solomons East Papuan	TRUE	TRUE
wah	wahg1249	Wahgi	-5.833333333	144.7166667	Papunesia	Chimbu	Trans-New Guinea	FALSE	FALSE
gel	gela1263	Gela	-9.083333333	160.25	Papunesia	Oceanic	Austronesian	FALSE	FALSE
ceb	cebu1242	Cebuano	10	124	Papunesia	Greater Central Philippine	Austronesian	FALSE	FALSE
aro	aros1241	Arosi	-10.25	161.3333333	Papunesia	Oceanic	Austronesian	FALSE	FALSE
ham	hamt1247	Hamtai	-7.5	146.25	Papunesia	Angan	Trans-New Guinea	FALSE	TRUE
ptp	patp1243	Patpatar	-3.766666667	152.5	Papunesia	Oceanic	Austronesian	FALSE	FALSE
bry	baru1267	Baruya	-6.916666667	145.9166667	Papunesia	Angan	Trans-New Guinea	FALSE	FALSE
una	unaa1239	Una	-4.666666667	140	Papunesia	Mek	Trans-New Guinea	FALSE	TRUE
nbb	bign1238	Nambas (Big)	-16.08333333	167.2	Papunesia	Oceanic	Austronesian	FALSE	FALSE
uma	umaa1242	Uma	-1.833333333	120	Papunesia	Celebic	Austronesian	FALSE	FALSE
bnt	bant1286	Bantik	1.416666667	124.75	Papunesia	Sangiric	Austronesian	FALSE	FALSE
tno	tond1251	Tondano	1.25	125	Papunesia	Minahasan	Austronesian	FALSE	FALSE
btk	cent2083	Bontok	17.08333333	120.9166667	Papunesia	Northern Luzon	Austronesian	FALSE	FALSE
rti	term1237	Roti	-10.66666667	123.25	Papunesia	Central Malayo-Polynesian	Austronesian	FALSE	FALSE
bgg	bang1368	Banggai	-1.416666667	123.1666667	Papunesia	Celebic	Austronesian	FALSE	FALSE
buu	buru1303	Buru	-3.5	126.5	Papunesia	Central Malayo-Polynesian	Austronesian	FALSE	FALSE
mna	muna1247	Muna	-5	122.5	Papunesia	Celebic	Austronesian	FALSE	FALSE
bjs	sout2918	Sama (Southern)	4.5	118.5	Papunesia	Sama-Bajaw	Austronesian	FALSE	FALSE
wrp	waro1242	Waropen	-2.333333333	136.5833333	Papunesia	South Halmahera - West New Guinea	Austronesian	FALSE	FALSE
kll	kalu1248	Kaluli	-6.5	142.75	Papunesia	Bosavi	Bosavi	FALSE	FALSE
uli	ulit1238	Ulithian	9.916666667	139.5833333	Papunesia	Oceanic	Austronesian	FALSE	FALSE
mae	maee1241	Mae	-16	167.25	Papunesia	Oceanic	Austronesian	FALSE	FALSE
wma	west2600	West Makian	0.5	127.5833333	Papunesia	North Halmaheran	West Papuan	FALSE	FALSE
ykn	yaka1277	Yakan	6.5	122	Papunesia	Sama-Bajaw	Austronesian	FALSE	FALSE
ape	safe1240	Ampeeli	-6.75	146.0833333	Papunesia	Angan	Trans-New Guinea	FALSE	FALSE
klq	kala1397	Kalam	-5.25	144.5833333	Papunesia	Madang	Trans-New Guinea	FALSE	FALSE
iat	iatm1242	Iatmul	-4.25	143.25	Papunesia	Ndu	Sepik	FALSE	FALSE
rej	reja1240	Rejang	-3.416666667	102.5	Papunesia	Rejang	Austronesian	FALSE	FALSE
alx	bata1292	Alas	3.666666667	97.83333333	Papunesia	Northwest Sumatra-Barrier Islands	Austronesian	FALSE	FALSE
beb	bena1264	Benabena	-6.166666667	145.5	Papunesia	Eastern Highlands	Trans-New Guinea	FALSE	FALSE
dre	dehu1237	Drehu	-21	167.25	Papunesia	Oceanic	Austronesian	FALSE	TRUE
kuo	kuot1243	Kuot	-3.05	151.5	Papunesia	Kuot	Kuot	FALSE	FALSE
nam	nami1256	Namia	-3.833333333	141.75	Papunesia	Yellow River	Sepik	FALSE	FALSE
saw	sabu1255	Sawu	-11.5	121.9166667	Papunesia	Central Malayo-Polynesian	Austronesian	FALSE	FALSE
kbr	bara1370	Kayan (Baram)	3.5	114.5	Papunesia	North Borneo	Austronesian	FALSE	FALSE
dum	vani1248	Dumo	-2.683333333	141.3	Papunesia	Western Skou	Skou	FALSE	FALSE
klt	kela1258	Kelabit	3.666666667	115.4166667	Papunesia	North Borneo	Austronesian	FALSE	FALSE
sia	sian1257	Siane	-6.083333333	145.2	Papunesia	Eastern Highlands	Trans-New Guinea	FALSE	FALSE
lrk	lari1255	Larike	-3.75	127.9166667	Papunesia	Central Malayo-Polynesian	Austronesian	FALSE	FALSE
mmn	mama1275	Mamanwa	9.416666667	125.5	Papunesia	Greater Central Philippine	Austronesian	FALSE	FALSE
blg	bala1310	Balangao	17.16666667	121.1666667	Papunesia	Northern Luzon	Austronesian	FALSE	FALSE
uri	urim1252	Urim	-3.583333333	142.6666667	Papunesia	Urim	Torricelli	FALSE	FALSE
eka	ekar1243	Ekari	-3.833333333	135.5	Papunesia	Wissel Lakes-Kemandoga	Trans-New Guinea	FALSE	TRUE
aln	alun1238	Alune	-3	128.3333333	Papunesia	Central Malayo-Polynesian	Austronesian	FALSE	FALSE
bng	qaqe1238	Qaget	-4.583333333	152	Papunesia	Baining	Baining	FALSE	FALSE
mli	mali1284	Mali	-4.833333333	152.25	Papunesia	Baining	Baining	FALSE	FALSE
iha	ihaa1241	Iha	-2.916666667	132.25	Papunesia	West Bomberai	West Bomberai	FALSE	FALSE
eno	engg1245	Enggano	-5.416666667	102.25	Papunesia	Enggano	Austronesian	FALSE	FALSE
lew	lewo1242	Lewo	-16.75	168.3333333	Papunesia	Oceanic	Austronesian	FALSE	FALSE
foe	foii1241	Foe	-6.5	143.5	Papunesia	Kutubuan	Trans-New Guinea	FALSE	FALSE
au	auuu1241	Au	-3.583333333	142.0833333	Papunesia	Wapei-Palei	Torricelli	FALSE	FALSE
ala	alam1246	Alamblak	-4.666666667	143.3333333	Papunesia	Sepik Hill	Sepik	TRUE	TRUE
amb	ambu1247	Ambulas	-3.833333333	143	Papunesia	Ndu	Sepik	FALSE	FALSE
mni	moni1261	Moni	-3.666666667	137	Papunesia	Wissel Lakes-Kemandoga	Trans-New Guinea	FALSE	FALSE
tbo	tbol1240	Tboli	6.166666667	124.5	Papunesia	Bilic	Austronesian	FALSE	FALSE
sak	saka1289	Sakao	-15.16666667	167.0833333	Papunesia	Oceanic	Austronesian	FALSE	FALSE
nas	naas1242	Nasioi	-6.333333333	155.5833333	Papunesia	East Bougainville	East Bougainville	FALSE	FALSE
lud	lund1271	Lun Dayeh	4	115.9166667	Papunesia	North Borneo	Austronesian	FALSE	FALSE
kao	kara1487	Karao	16.5	120.8333333	Papunesia	Northern Luzon	Austronesian	FALSE	FALSE
mus	muss1246	Mussau	-1.45	149.6166667	Papunesia	Oceanic	Austronesian	FALSE	FALSE
crl	caro1242	Carolinian	15.2	145.75	Papunesia	Oceanic	Austronesian	FALSE	FALSE
pul	pulu1242	Puluwat	7.333333333	149.3333333	Papunesia	Oceanic	Austronesian	FALSE	FALSE
bim	bima1247	Bima	-8.5	118.5	Papunesia	Central Malayo-Polynesian	Austronesian	FALSE	FALSE
jav	java1254	Javanese	-7	111	Papunesia	Javanese	Austronesian	FALSE	FALSE
ibn	iban1267	Ibanag	17.5	121.6666667	Papunesia	Northern Luzon	Austronesian	FALSE	FALSE
npu	napu1241	Napu	-1.333333333	120.4166667	Papunesia	Celebic	Austronesian	FALSE	FALSE
kew	kewa1250	Kewa	-6.5	143.8333333	Papunesia	Engan	Trans-New Guinea	TRUE	TRUE
bug	bugi1244	Bugis	-4	120	Papunesia	South Sulawesi	Austronesian	FALSE	FALSE
mey	meny1245	Menya	-7.25	146	Papunesia	Angan	Trans-New Guinea	FALSE	FALSE
rap	rapa1244	Rapanui	-27.11666667	-109.3666667	Papunesia	Oceanic	Austronesian	TRUE	TRUE
wlo	woli1241	Wolio	-5.5	122.75	Papunesia	Celebic	Austronesian	FALSE	FALSE
lmp	lamp1243	Lampung	-5	105	Papunesia	Lampungic	Austronesian	FALSE	FALSE
kkt	koko1269	Kokota	-8	159.1333333	Papunesia	Oceanic	Austronesian	FALSE	FALSE
ami	amis1246	Amis	23.33333333	121.3333333	Papunesia	East Formosan	Austronesian	FALSE	FALSE
ked	keda1252	Kedang	-8.25	123.75	Papunesia	Central Malayo-Polynesian	Austronesian	FALSE	FALSE
meb	beta1252	Melayu Betawi	-6.5	107	Papunesia	Creoles and Pidgins	other	FALSE	FALSE
ifu	bata1298	Ifugao (Batad)	16.83333333	121.0833333	Papunesia	Northern Luzon	Austronesian	FALSE	FALSE
son	sons1242	Sonsorol-Tobi	5.333333333	132.25	Papunesia	Oceanic	Austronesian	FALSE	FALSE
skr	sika1263	Sikaritai	-2.916666667	138.25	Papunesia	Lakes Plain	Lakes Plain	FALSE	FALSE
tke	toke1240	Tokelauan	-9	-172	Papunesia	Oceanic	Austronesian	FALSE	FALSE
plp	ngaj1237	Pulopetak	1.416666667	109.8333333	Papunesia	Barito	Austronesian	FALSE	FALSE
kjo	coas1295	Konjo	-5.466666667	120.3333333	Papunesia	South Sulawesi	Austronesian	FALSE	FALSE
kgl	umbu1258	Umbu Ungu	-6	144	Papunesia	Chimbu	Trans-New Guinea	FALSE	FALSE
mrs	nucl1594	Mairasi	-3.5	134	Papunesia	Mairasi-Tanahmerah	Trans-New Guinea	FALSE	FALSE
abu	abun1252	Abun	-0.5	132.5	Papunesia	North-Central Bird's Head	West Papuan	FALSE	FALSE
lje	lauj1238	Lauje	-0.5	120	Papunesia	Celebic	Austronesian	FALSE	FALSE
kkv	lusi1240	Lusi	-5.583333333	149.6666667	Papunesia	Oceanic	Austronesian	FALSE	FALSE
arp	buki1249	Arapesh (Mountain)	-3.466666667	143.1666667	Papunesia	Kombio-Arapesh	Torricelli	TRUE	TRUE
ygr	yaga1260	Yagaria	-6.333333333	145.4166667	Papunesia	Eastern Highlands	Trans-New Guinea	FALSE	FALSE
asm	tamn1235	Asmat	-5.5	138.5	Papunesia	Asmat-Kamoro	Trans-New Guinea	TRUE	TRUE
bkl	cent2087	Bikol	13.33333333	123.5	Papunesia	Greater Central Philippine	Austronesian	FALSE	FALSE
sly	sela1260	Selayar	-6	120.5	Papunesia	South Sulawesi	Austronesian	FALSE	FALSE
tay	tayo1238	Tayo	-22	166.3333333	Papunesia	Creoles and Pidgins	other	FALSE	FALSE
skl	siku1242	Sikule	2.666666667	96	Papunesia	Northwest Sumatra-Barrier Islands	Austronesian	FALSE	FALSE
kiw	sout2949	 Kiwai (Southern)	-8	143.5	Papunesia	Kiwaian	Kiwaian	FALSE	FALSE
syu	salt1242	Salt-Yui	-6.283333333	145.0333333	Papunesia	Chimbu	Trans-New Guinea	FALSE	FALSE
fue	east2447	Futuna (East)	-14.33333333	-178.1666667	Papunesia	Oceanic	Austronesian	FALSE	FALSE
agd	dupa1235	Agta (Dupaningan)	18	122.0833333	Papunesia	Greater Central Philippine	Austronesian	FALSE	FALSE
bgz	bong1289	Banggi	7.25	117.1666667	Papunesia	North Borneo	Austronesian	FALSE	FALSE
ttd	tetu1245	Tetun Dili	-8.583333333	125.5833333	Papunesia	Central Malayo-Polynesian	Austronesian	FALSE	FALSE
lab	labu1248	Labu	-6.75	146.9166667	Papunesia	Oceanic	Austronesian	FALSE	FALSE
vnm	vinm1237	Vinmavis	-16.16666667	167.4166667	Papunesia	Oceanic	Austronesian	FALSE	FALSE
psw	port1285	Port Sandwich	-16.5	167.75	Papunesia	Oceanic	Austronesian	FALSE	FALSE
lmu	lame1260	Lamen	-16.58333333	168.1666667	Papunesia	Oceanic	Austronesian	FALSE	FALSE
erk	sout2856	Efate (South)	-17.75	168.4166667	Papunesia	Oceanic	Austronesian	FALSE	FALSE
ndr	fiji1243	Nadroga	-18.08333333	177.4166667	Papunesia	Oceanic	Austronesian	FALSE	FALSE
mxe	mele1250	Ifira-Mele	-17.75	168.25	Papunesia	Oceanic	Austronesian	FALSE	FALSE
mpt	mian1256	Mian	-4.75	141.5	Papunesia	Ok	Trans-New Guinea	FALSE	FALSE
mkj	maka1316	Makasae	-8.666666667	126.5	Papunesia	Makasae-Fataluku-Oirata	Timor-Alor-Pantar	FALSE	FALSE
abv	abui1241	Abui	-8.25	124.6666667	Papunesia	Greater Alor	Timor-Alor-Pantar	FALSE	FALSE
adg	adan1251	Adang	-8.2	124	Papunesia	Greater Alor	Timor-Alor-Pantar	FALSE	FALSE
bdw	baha1258	Baham	-3.166666667	132.6666667	Papunesia	West Bomberai	West Bomberai	FALSE	FALSE
dlm	dera1245	Dla (Menggwa)	-3.55	141.0333333	Papunesia	Senagi	Senagi	FALSE	FALSE
brp	wara1302	Barupu	-3.083333333	142.0833333	Papunesia	Warapu	Skou	FALSE	FALSE
fqs	fass1245	Momu	-3	141.5833333	Papunesia	Baibai-Fas	Baibai-Fas	FALSE	FALSE
kwt	nucl1593	Kwomtari	-3.5	141.5	Papunesia	Kwomtari	Kwomtari	FALSE	FALSE
bio	naii1241	Nai	-3.716666667	141.2666667	Papunesia	Kwomtari	Kwomtari	FALSE	FALSE
amm	amap1240	Ama	-4.216666667	141.6166667	Papunesia	Left May	Left May	FALSE	FALSE
owi	owin1240	Owininga	-4.5	141.75	Papunesia	Left May	Left May	FALSE	FALSE
urt	urat1244	Urat	-3.666666667	142.8333333	Papunesia	Wapei-Palei	Torricelli	FALSE	FALSE
xbi	komb1272	Kombio	-3.5	142.75	Papunesia	Kombio-Arapesh	Torricelli	FALSE	FALSE
aoj	mufi1238	Mufian	-3.5	143	Papunesia	Kombio-Arapesh	Torricelli	FALSE	FALSE
kmz	kama1367	Kamasau	-3.916666667	143.6666667	Papunesia	Marienberg	Torricelli	FALSE	FALSE
kkl	beng1239	Kata Kolok	-8.25	115.1666667	Papunesia	Sign Languages	other	FALSE	FALSE
kuz	mati1250	Kulamanen	7.75	125	Papunesia	Greater Central Philippine	Austronesian	FALSE	FALSE
kdz	coas1294	Kadazan	5.916666667	117.1666667	Papunesia	North Borneo	Austronesian	FALSE	FALSE
pgl	ping1243	Pingilapese	6.216666667	160.7	Papunesia	Oceanic	Austronesian	FALSE	FALSE
tgn	tugu1245	Tugun	-7.716666667	126.75	Papunesia	Central Malayo-Polynesian	Austronesian	FALSE	FALSE
krw	koro1312	Korowai	-5.25	140	Papunesia	Awju-Dumut	Trans-New Guinea	FALSE	FALSE
imo	imon1245	Imonda	-3.333333333	141.1666667	Papunesia	Border	Border	TRUE	TRUE
kag	kome1238	Komering	-3.166666667	104.9166667	Papunesia	Lampungic	Austronesian	FALSE	FALSE
smd	sema1269	Semandang	-0.75	110.5	Papunesia	Land Dayak	Austronesian	FALSE	FALSE
let	leti1246	Leti	-8.2	127.6666667	Papunesia	Central Malayo-Polynesian	Austronesian	FALSE	FALSE
nzs	newz1236	New Zealand Sign Language	-43	172	Papunesia	Sign Languages	other	FALSE	FALSE
tzi	taiw1241	Taiwanese Sign Language (Ziran Shouyu)	24	121	Papunesia	Sign Languages	other	FALSE	FALSE
keo	keoo1238	Keo	-8.833333333	121.25	Papunesia	Central Malayo-Polynesian	Austronesian	FALSE	FALSE
atb	aral1243	Aralle-Tabulahan	-2.75	119.25	Papunesia	South Sulawesi	Austronesian	FALSE	FALSE
hua	yaga1260	Hua	-6.333333333	145.3333333	Papunesia	Eastern Highlands	Trans-New Guinea	FALSE	FALSE
mms	mama1276	Mamasa	-3.083333333	119.6666667	Papunesia	South Sulawesi	Austronesian	FALSE	FALSE
kkr	kiri1256	Kirikiri	-3	137.1666667	Papunesia	Lakes Plain	Lakes Plain	FALSE	FALSE
bwc	west2560	Bajau (West Coast)	6.333333333	116.3333333	Papunesia	Sama-Bajaw	Austronesian	FALSE	FALSE
mqf	momu1241	Momuna	-4.833333333	139.25	Papunesia	Momuna	Trans-New Guinea	FALSE	FALSE
wom	womo1238	Womo	-2.916666667	141.8333333	Papunesia	Serra Hills	Skou	FALSE	FALSE
klw	kili1268	Kiliwa	31.33333333	-115.6666667	North America	Yuman	Hokan	FALSE	FALSE
koa	koas1236	Koasati	34.83333333	-85.16666667	North America	Muskogean	Muskogean	TRUE	TRUE
shs	shas1239	Shasta	41.83333333	-122.6666667	North America	Shasta	Hokan	FALSE	FALSE
tkl	take1257	Takelma	42.5	-123	North America	Takelma	Takelma	FALSE	FALSE
win	wint1259	Wintu	41	-122.5	North America	Wintuan	Penutian	FALSE	FALSE
coa	coah1252	Coahuilteco	28	-100	North America	Coahuiltecan	Coahuiltecan	FALSE	FALSE
slv	sout2959	Slavey	60	-120	North America	Athapaskan	Na-Dene	FALSE	FALSE
pmn	nort2966	Pomo (Northern)	39.33333333	-123.5	North America	Pomoan	Hokan	FALSE	FALSE
atk	atak1252	Atakapa	30	-93.5	North America	Atakapa	Atakapa	FALSE	FALSE
mis	misk1235	Miskito	14	-83.66666667	North America	Misumalpan	Misumalpan	FALSE	FALSE
tsi	nucl1649	Tsimshian (Coast)	52.5	-129	North America	Tsimshianic	Penutian	FALSE	TRUE
sum	maya1285	Mayangna	13	-84.5	North America	Misumalpan	Misumalpan	FALSE	FALSE
moj	moha1256	Mojave	34.66666667	-114.5833333	North America	Yuman	Hokan	FALSE	FALSE
tza	tzel1254	Tzeltal (Aguacatenango)	16.41666667	-92.5	North America	Mayan	Mayan	FALSE	FALSE
tzt	tzel1254	Tzeltal (Tenejapa)	16.66666667	-92.33333333	North America	Mayan	Mayan	FALSE	FALSE
tze	tzel1254	Tzeltal	16.83333333	-92.25	North America	Mayan	Mayan	FALSE	FALSE
ctm	chit1248	Chitimacha	29.66666667	-91	North America	Chitimacha	Chitimacha	FALSE	FALSE
cec	chic1271	Chicomuceltec	15.5	-92.25	North America	Mayan	Mayan	FALSE	FALSE
ksa	east1472	Keresan (Santa Ana)	35.41666667	-106.6666667	North America	Keresan	Keresan	FALSE	FALSE
oji	east2542	Ojibwa (Eastern)	46	-80	North America	Algonquian	Algic	FALSE	FALSE
cpw	chip1241	Chippewa (Red Lake and Pillager)	48	-95	North America	Algonquian	Algic	FALSE	FALSE
wiy	wiyo1248	Wiyot	40.83333333	-124.1666667	North America	Wiyot	Algic	FALSE	FALSE
cyg	cayu1261	Cayuga	42.75	-76.75	North America	Northern Iroquoian	Iroquoian	FALSE	FALSE
yuc	yuch1247	Yuchi	35.75	-86.75	North America	Yuchi	Yuchi	FALSE	TRUE
tpn	nort2959	Tepehuan (Northern)	26.33333333	-107	North America	Tepiman	Uto-Aztecan	FALSE	FALSE
otm	mezq1235	Otomí (Mezquital)	20.16666667	-99.16666667	North America	Otomian	Oto-Manguean	TRUE	TRUE
osm	quer1236	Otomí (Santiago Mexquititlan)	20.08333333	-100.0833333	North America	Otomian	Oto-Manguean	FALSE	FALSE
oix	ixte1237	Otomí (Ixtenco)	19.08333333	-97.91666667	North America	Otomian	Oto-Manguean	FALSE	FALSE
shp	nort1527	Sahaptin (Northern)	46.5	-120	North America	Sahaptian	Penutian	FALSE	FALSE
smt	umat1237	Sahaptin (Umatilla)	45.66666667	-118.5	North America	Sahaptian	Penutian	FALSE	FALSE
ych	cent2127	Yup'ik (Chevak)	61.5	-165.75	North America	Eskimo	Eskimo-Aleut	FALSE	FALSE
yun	cent2127	Yup'ik (Norton Sound)	64	-161	North America	Eskimo	Eskimo-Aleut	FALSE	FALSE
ypk	cent2127	Yup'ik (Central)	59.5	-160	North America	Eskimo	Eskimo-Aleut	FALSE	TRUE
oka	okan1243	Okanagan	49.5	-118.5	North America	Interior Salish	Salishan	FALSE	FALSE
ctc	cuic1234	Cuicatec	17.83333333	-96.83333333	North America	Mixtecan	Oto-Manguean	FALSE	FALSE
fox	mesk1242	Fox	43	-83	North America	Algonquian	Algic	FALSE	FALSE
til	till1254	Tillamook	45.33333333	-123.75	North America	Tillamook	Salishan	FALSE	FALSE
moh	moha1258	Mohawk	43.5	-74.25	North America	Northern Iroquoian	Iroquoian	FALSE	FALSE
chi	chim1301	Chimariko	41	-123	North America	Chimariko	Hokan	FALSE	FALSE
qch	kich1262	Quiché	15	-91.41666667	North America	Mayan	Mayan	FALSE	FALSE
olu	olut1240	Olutec	17.95	-95	North America	Mixe-Zoque	Mixe-Zoque	FALSE	FALSE
hlp	hava1248	Hualapai	35.5	-113.75	North America	Yuman	Hokan	FALSE	FALSE
cla	clal1241	Clallam	48.08333333	-123.75	North America	Central Salish	Salishan	FALSE	FALSE
mss	sout2985	Miwok (Southern Sierra)	37.5	-120	North America	Miwok	Penutian	FALSE	TRUE
pec	pech1241	Pech	15	-85.5	North America	Paya	Chibchan	FALSE	FALSE
apc	mesc1238	Apache (Chiricahua)	33.25	-108	North America	Athapaskan	Na-Dene	FALSE	FALSE
apj	jica1244	Apache (Jicarilla)	36.58333333	-104	North America	Athapaskan	Na-Dene	FALSE	FALSE
