"wals.code"	"name"	"value"	"description"	"latitude"	"longitude"	"genus"	"family"	"area"	"macroarea"
"ker"	"Kera"	3	"Complex tone system"	9.83333333333	15.0833333333	"East Chadic"	"Afro-Asiatic"	"Phonology"	"Africa"
"ket"	"Ket"	1	"No tones"	64	87	"Yeniseian"	"Yeniseian"	"Phonology"	"Eurasia"
"kew"	"Kewa"	2	"Simple tone system"	-6.5	143.833333333	"Engan"	"Trans-New Guinea"	"Phonology"	"Papunesia"
"kha"	"Khalkha"	1	"No tones"	47	105	"Mongolic"	"Altaic"	"Phonology"	"Eurasia"
"kty"	"Khanty"	1	"No tones"	65	65	"Ugric"	"Uralic"	"Phonology"	"Eurasia"
"khr"	"Kharia"	1	"No tones"	22.5	84.3333333333	"Munda"	"Austro-Asiatic"	"Phonology"	"Eurasia"
"khs"	"Khasi"	1	"No tones"	25.5	92	"Khasian"	"Austro-Asiatic"	"Phonology"	"Eurasia"
"khm"	"Khmer"	1	"No tones"	12.5	105	"Khmer"	"Austro-Asiatic"	"Phonology"	"Eurasia"
"kmu"	"Khmu'"	2	"Simple tone system"	21	102	"Khmuic"	"Austro-Asiatic"	"Phonology"	"Eurasia"
"klv"	"Kilivila"	1	"No tones"	-8.5	151.083333333	"Oceanic"	"Austronesian"	"Phonology"	"Papunesia"
"kio"	"Kiowa"	2	"Simple tone system"	37	-99	"Kiowa-Tanoan"	"Kiowa-Tanoan"	"Phonology"	"North America"
"kgz"	"Kirghiz"	1	"No tones"	42	75	"Turkic"	"Altaic"	"Phonology"	"Eurasia"
"krb"	"Kiribati"	1	"No tones"	1.33333333333	173	"Oceanic"	"Austronesian"	"Phonology"	"Papunesia"
"kss"	"Kisi (Southern)"	2	"Simple tone system"	8.5	-10.25	"Mel"	"Niger-Congo"	"Phonology"	"Africa"
"kiw"	"Kiwai (Southern)"	2	"Simple tone system"	-8	143.5	"Kiwaian"	"Kiwaian"	"Phonology"	"Papunesia"
"klm"	"Klamath"	1	"No tones"	42.5	-121.5	"Klamath-Modoc"	"Penutian"	"Phonology"	"North America"
"kla"	"Klao"	3	"Complex tone system"	4.75	-8.75	"Kru"	"Niger-Congo"	"Phonology"	"Africa"
"koa"	"Koasati"	3	"Complex tone system"	34.8333333333	-85.1666666667	"Muskogean"	"Muskogean"	"Phonology"	"North America"
"kob"	"Kobon"	1	"No tones"	-5.16666666667	144.333333333	"Madang"	"Trans-New Guinea"	"Phonology"	"Papunesia"
"koh"	"Kohumono"	3	"Complex tone system"	6	8.11666666667	"Cross River"	"Niger-Congo"	"Phonology"	"Africa"
"koi"	"Koiari"	2	"Simple tone system"	-9.5	147.333333333	"Koiarian"	"Trans-New Guinea"	"Phonology"	"Papunesia"
"kzy"	"Komi-Zyrian"	1	"No tones"	65	55	"Permic"	"Uralic"	"Phonology"	"Eurasia"
"kom"	"Komo"	3	"Complex tone system"	8.75	33.75	"Koman"	"Koman"	"Phonology"	"Africa"
"kkn"	"Konkani"	1	"No tones"	15.25	74	"Indic"	"Indo-European"	"Phonology"	"Eurasia"
"kgi"	"Konyagi"	2	"Simple tone system"	12.5	-13.25	"Tenda"	"Niger-Congo"	"Phonology"	"Africa"
"kor"	"Korean"	1	"No tones"	37.5	128	"Korean"	"Korean"	"Phonology"	"Eurasia"
"kfe"	"Koromfe"	1	"No tones"	14.25	-0.916666666667	"Northern-Central Gur"	"Niger-Congo"	"Phonology"	"Africa"
"kry"	"Koryak"	1	"No tones"	61	167	"Northern Chukotko-Kamchatkan"	"Chukotko-Kamchatkan"	"Phonology"	"Eurasia"
"kot"	"Kota"	1	"No tones"	11.5	77.1666666667	"Southern Dravidian"	"Dravidian"	"Phonology"	"Eurasia"
"ktk"	"Kotoko"	2	"Simple tone system"	11.3333333333	15.3333333333	"Biu-Mandara"	"Afro-Asiatic"	"Phonology"	"Africa"
"koy"	"Koya"	1	"No tones"	17.5	81.3333333333	"South-Central Dravidian"	"Dravidian"	"Phonology"	"Eurasia"
"kch"	"Koyra Chiini"	1	"No tones"	17	-3	"Songhay"	"Songhay"	"Phonology"	"Africa"
"kpa"	"Kpan"	3	"Complex tone system"	7.58333333333	10.1666666667	"Platoid"	"Niger-Congo"	"Phonology"	"Africa"
"kpe"	"Kpelle"	3	"Complex tone system"	7	-10	"Western Mande"	"Mande"	"Phonology"	"Africa"
"kro"	"Krongo"	2	"Simple tone system"	10.5	30	"Kadugli"	"Kadu"	"Phonology"	"Africa"
"kya"	"Kuku-Yalanji"	1	"No tones"	-16	145	"Northern Pama-Nyungan"	"Pama-Nyungan"	"Phonology"	"Australia"
"kul"	"Kullo"	2	"Simple tone system"	6.75	37.0833333333	"North Omotic"	"Afro-Asiatic"	"Phonology"	"Africa"
"kun"	"Kuna"	1	"No tones"	8	-77.3333333333	"Kuna"	"Chibchan"	"Phonology"	"South America"
"knm"	"Kunama"	2	"Simple tone system"	14.5	37	"Kunama"	"Kunama"	"Phonology"	"Africa"
"kmp"	"Kunimaipa"	1	"No tones"	-8	146.833333333	"Goilalan"	"Trans-New Guinea"	"Phonology"	"Papunesia"
"krd"	"Kurdish (Central)"	1	"No tones"	36	44	"Iranian"	"Indo-European"	"Phonology"	"Eurasia"
"kut"	"Kutenai"	1	"No tones"	49.5	-116	"Kutenai"	"Kutenai"	"Phonology"	"North America"
"kwa"	"Kwaio"	1	"No tones"	-8.95	161	"Oceanic"	"Austronesian"	"Phonology"	"Papunesia"
"kwk"	"Kwakw'ala"	1	"No tones"	51	-127	"Northern Wakashan"	"Wakashan"	"Phonology"	"North America"
"lad"	"Ladakhi"	1	"No tones"	34	78	"Bodic"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"lah"	"Lahu"	3	"Complex tone system"	20	98.1666666667	"Burmese-Lolo"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"lak"	"Lak"	1	"No tones"	42.1666666667	47.1666666667	"Lak-Dargwa"	"Nakh-Daghestanian"	"Phonology"	"Eurasia"
"lkt"	"Lakhota"	1	"No tones"	43.8333333333	-101.833333333	"Core Siouan"	"Siouan"	"Phonology"	"North America"
"lkk"	"Lakkia"	3	"Complex tone system"	24.0833333333	110.166666667	"Kadai"	"Tai-Kadai"	"Phonology"	"Eurasia"
"lam"	"Lamé"	3	"Complex tone system"	9	14.5	"Masa"	"Afro-Asiatic"	"Phonology"	"Africa"
"lan"	"Lango"	2	"Simple tone system"	2.16666666667	33	"Nilotic"	"Eastern Sudanic"	"Phonology"	"Africa"
"lat"	"Latvian"	2	"Simple tone system"	57	24	"Baltic"	"Indo-European"	"Phonology"	"Eurasia"
"lav"	"Lavukaleve"	1	"No tones"	-9.08333333333	159.2	"Lavukaleve"	"Solomons East Papuan"	"Phonology"	"Papunesia"
"llm"	"Lelemi"	2	"Simple tone system"	7.33333333333	0.5	"Kwa"	"Niger-Congo"	"Phonology"	"Africa"
"len"	"Lenakel"	1	"No tones"	-19.45	169.25	"Oceanic"	"Austronesian"	"Phonology"	"Papunesia"
"lez"	"Lezgian"	1	"No tones"	41.6666666667	47.8333333333	"Lezgic"	"Nakh-Daghestanian"	"Phonology"	"Eurasia"
"lua"	"Lua"	3	"Complex tone system"	9.75	17.75	"Bua"	"Niger-Congo"	"Phonology"	"Africa"
"lug"	"Lugbara"	3	"Complex tone system"	3.08333333333	30.9166666667	"Moru-Ma'di"	"Central Sudanic"	"Phonology"	"Africa"
"lui"	"Luiseño"	1	"No tones"	33.3333333333	-117.166666667	"California Uto-Aztecan"	"Uto-Aztecan"	"Phonology"	"North America"
"luo"	"Luo"	2	"Simple tone system"	-0.5	34.75	"Nilotic"	"Eastern Sudanic"	"Phonology"	"Africa"
"lus"	"Lushootseed"	1	"No tones"	48	-122	"Central Salish"	"Salishan"	"Phonology"	"North America"
"kkv"	"Lusi"	1	"No tones"	-5.58333333333	149.666666667	"Oceanic"	"Austronesian"	"Phonology"	"Papunesia"
"luv"	"Luvale"	2	"Simple tone system"	-12	22	"Bantoid"	"Niger-Congo"	"Phonology"	"Africa"
"lu"	"Lü"	3	"Complex tone system"	22	100.666666667	"Kam-Tai"	"Tai-Kadai"	"Phonology"	"Eurasia"
"mya"	"Ma'ya"	3	"Complex tone system"	-1.25	130.916666667	"South Halmahera - West New Guinea"	"Austronesian"	"Phonology"	"Papunesia"
"maa"	"Maasai"	2	"Simple tone system"	-3	36	"Nilotic"	"Eastern Sudanic"	"Phonology"	"Africa"
"mab"	"Maba"	2	"Simple tone system"	13.75	20.8333333333	"Maban"	"Maban"	"Phonology"	"Africa"
"mne"	"Maidu (Northeast)"	1	"No tones"	40	-120.666666667	"Maiduan"	"Penutian"	"Phonology"	"North America"
"mak"	"Makah"	1	"No tones"	48.3333333333	-124.666666667	"Southern Wakashan"	"Wakashan"	"Phonology"	"North America"
"mal"	"Malagasy"	1	"No tones"	-20	47	"Barito"	"Austronesian"	"Phonology"	"Africa"
"mlk"	"Malakmalak"	1	"No tones"	-13.4166666667	130.416666667	"Northern Daly"	"Northern Daly"	"Phonology"	"Australia"
"mla"	"Mambila"	3	"Complex tone system"	6.75	11.5	"Bantoid"	"Niger-Congo"	"Phonology"	"Africa"
"mnd"	"Mandarin"	3	"Complex tone system"	34	110	"Chinese"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"myi"	"Mangarrayi"	1	"No tones"	-14.6666666667	133.5	"Mangarrayi"	"Mangarrayi-Maran"	"Phonology"	"Australia"
"mgg"	"Mangghuer"	1	"No tones"	36	102	"Mongolic"	"Altaic"	"Phonology"	"Eurasia"
"mao"	"Maori"	1	"No tones"	-40	176	"Oceanic"	"Austronesian"	"Phonology"	"Papunesia"
"map"	"Mapudungun"	1	"No tones"	-38	-72	"Araucanian"	"Araucanian"	"Phonology"	"South America"
"mrn"	"Maranao"	1	"No tones"	7.83333333333	124.25	"Greater Central Philippine"	"Austronesian"	"Phonology"	"Papunesia"
"mku"	"Maranungku"	1	"No tones"	-13.6666666667	130	"Wagaydy"	"Western Daly"	"Phonology"	"Australia"
"mrg"	"Margi"	2	"Simple tone system"	11	13	"Biu-Mandara"	"Afro-Asiatic"	"Phonology"	"Africa"
"mar"	"Maricopa"	1	"No tones"	33.1666666667	-113.166666667	"Yuman"	"Hokan"	"Phonology"	"North America"
"mrd"	"Marind"	1	"No tones"	-7.83333333333	140.166666667	"Marind"	"Anim"	"Phonology"	"Papunesia"
"mrt"	"Martuthunira"	1	"No tones"	-20.8333333333	116.5	"Western Pama-Nyungan"	"Pama-Nyungan"	"Phonology"	"Australia"
"mau"	"Maung"	1	"No tones"	-11.9166666667	133.5	"Iwaidjan"	"Iwaidjan"	"Phonology"	"Australia"
"max"	"Maxakalí"	1	"No tones"	-18	-40	"Maxakalí"	"Macro-Ge"	"Phonology"	"South America"
"may"	"Maybrat"	1	"No tones"	-1.33333333333	132.5	"North-Central Bird's Head"	"West Papuan"	"Phonology"	"Papunesia"
"maz"	"Mazahua"	2	"Simple tone system"	19.4166666667	-99.9166666667	"Otomian"	"Oto-Manguean"	"Phonology"	"North America"
"mzc"	"Mazatec (Chiquihuitlán)"	3	"Complex tone system"	17.75	-96.9166666667	"Popolocan"	"Oto-Manguean"	"Phonology"	"North America"
"mba"	"Mba"	3	"Complex tone system"	1	25	"Ubangi"	"Niger-Congo"	"Phonology"	"Africa"
"mbb"	"Mbabaram"	1	"No tones"	-17.1666666667	145	"Northern Pama-Nyungan"	"Pama-Nyungan"	"Phonology"	"Australia"
"mbm"	"Mbum"	2	"Simple tone system"	7.75	13.1666666667	"Mbumic"	"Niger-Congo"	"Phonology"	"Africa"
"mei"	"Meithei"	2	"Simple tone system"	24.75	94	"Kuki-Chin"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"mie"	"Mien"	3	"Complex tone system"	25	111	"Hmong-Mien"	"Hmong-Mien"	"Phonology"	"Eurasia"
"hok"	"Min (Southern)"	3	"Complex tone system"	25	118	"Chinese"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"mss"	"Miwok (Southern Sierra)"	1	"No tones"	37.5	-120	"Miwok"	"Penutian"	"Phonology"	"North America"
"mtp"	"Mixe (Totontepec)"	1	"No tones"	17.25	-96	"Mixe-Zoque"	"Mixe-Zoque"	"Phonology"	"North America"
"mxc"	"Mixtec (Chalcatongo)"	3	"Complex tone system"	17.05	-97.5833333333	"Mixtecan"	"Oto-Manguean"	"Phonology"	"North America"
"mxm"	"Mixtec (Molinos)"	3	"Complex tone system"	17	-97.5833333333	"Mixtecan"	"Oto-Manguean"	"Phonology"	"North America"
"mog"	"Moghol"	1	"No tones"	35	62	"Mongolic"	"Altaic"	"Phonology"	"Eurasia"
"mor"	"Mor"	2	"Simple tone system"	-2.95	135.75	"South Halmahera - West New Guinea"	"Austronesian"	"Phonology"	"Papunesia"
"mro"	"Moro"	2	"Simple tone system"	11	30.1666666667	"Heiban"	"Kordofanian"	"Phonology"	"Africa"
"mov"	"Movima"	1	"No tones"	-13.8333333333	-65.6666666667	"Movima"	"Movima"	"Phonology"	"South America"
"mui"	"Muinane"	2	"Simple tone system"	-1	-72.5	"Boran"	"Huitotoan"	"Phonology"	"South America"
"mum"	"Mumuye"	3	"Complex tone system"	9	11.6666666667	"Mumuye-Yandang"	"Niger-Congo"	"Phonology"	"Africa"
"mun"	"Mundari"	1	"No tones"	23	84.6666666667	"Munda"	"Austro-Asiatic"	"Phonology"	"Eurasia"
"mrl"	"Murle"	2	"Simple tone system"	6.5	33.5	"Surmic"	"Eastern Sudanic"	"Phonology"	"Africa"
"mpa"	"Murrinh-Patha"	1	"No tones"	-14.6666666667	129.666666667	"Murrinh-Patha"	"Southern Daly"	"Phonology"	"Australia"
"nhn"	"Nahuatl (North Puebla)"	1	"No tones"	20	-98.25	"Aztecan"	"Uto-Aztecan"	"Phonology"	"North America"
"nht"	"Nahuatl (Tetelcingo)"	1	"No tones"	19.6666666667	-99	"Aztecan"	"Uto-Aztecan"	"Phonology"	"North America"
"kho"	"Nama"	3	"Complex tone system"	-25.5	18	"Khoe-Kwadi"	"Khoe-Kwadi"	"Phonology"	"Africa"
"nmb"	"Nambikuára (Southern)"	3	"Complex tone system"	-14	-59.5	"Nambikuaran"	"Nambikuaran"	"Phonology"	"South America"
"nai"	"Nanai"	1	"No tones"	49.5	137	"Tungusic"	"Altaic"	"Phonology"	"Eurasia"
"nnc"	"Nancowry"	1	"No tones"	8.05	93.5	"Nicobarese"	"Austro-Asiatic"	"Phonology"	"Eurasia"
"nan"	"Nandi"	2	"Simple tone system"	0.25	35	"Nilotic"	"Eastern Sudanic"	"Phonology"	"Africa"
"nar"	"Nara (in Ethiopia)"	2	"Simple tone system"	15.0833333333	37.5833333333	"Nara"	"Eastern Sudanic"	"Phonology"	"Africa"
"nav"	"Navajo"	2	"Simple tone system"	36.1666666667	-108	"Athapaskan"	"Na-Dene"	"Phonology"	"North America"
"nax"	"Naxi"	3	"Complex tone system"	27.5	100	"Naxi"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"ndt"	"Ndut"	3	"Complex tone system"	14.9166666667	-16.9166666667	"Cangin"	"Niger-Congo"	"Phonology"	"Africa"
"ndy"	"Ndyuka"	2	"Simple tone system"	4.5	-54.5	"Creoles and Pidgins"	"other"	"Phonology"	"South America"
"ntu"	"Nenets"	1	"No tones"	70	76	"Samoyedic"	"Uralic"	"Phonology"	"Eurasia"
"nap"	"Neo-Aramaic (Persian Azerbaijan)"	1	"No tones"	38	47	"Semitic"	"Afro-Asiatic"	"Phonology"	"Eurasia"
"nep"	"Nepali"	1	"No tones"	28	85	"Indic"	"Indo-European"	"Phonology"	"Eurasia"
"new"	"Newari (Kathmandu)"	1	"No tones"	27.6666666667	85.5	"Mahakiranti"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"nez"	"Nez Perce"	1	"No tones"	46	-116	"Sahaptian"	"Penutian"	"Phonology"	"North America"
"nga"	"Nganasan"	1	"No tones"	71	93	"Samoyedic"	"Uralic"	"Phonology"	"Eurasia"
"nti"	"Ngiti"	3	"Complex tone system"	1.33333333333	30.25	"Lendu"	"Central Sudanic"	"Phonology"	"Africa"
"ngi"	"Ngiyambaa"	1	"No tones"	-31.75	145.5	"Southeastern Pama-Nyungan"	"Pama-Nyungan"	"Phonology"	"Australia"
"ngz"	"Ngizim"	2	"Simple tone system"	12.0833333333	10.9166666667	"West Chadic"	"Afro-Asiatic"	"Phonology"	"Africa"
"chu"	"Nivacle"	1	"No tones"	-23.5	-60.5	"Matacoan"	"Matacoan"	"Phonology"	"South America"
"niv"	"Nivkh"	2	"Simple tone system"	53.3333333333	142	"Nivkh"	"Nivkh"	"Phonology"	"Eurasia"
"nko"	"Nkore-Kiga"	2	"Simple tone system"	-0.916666666667	29.8333333333	"Bantoid"	"Niger-Congo"	"Phonology"	"Africa"
"nob"	"Nobiin"	2	"Simple tone system"	21	31	"Nubian"	"Eastern Sudanic"	"Phonology"	"Africa"
"non"	"Noni"	3	"Complex tone system"	6.41666666667	10.5833333333	"Bantoid"	"Niger-Congo"	"Phonology"	"Africa"
"nor"	"Norwegian"	2	"Simple tone system"	61	8	"Germanic"	"Indo-European"	"Phonology"	"Eurasia"
"nun"	"Nung (in Vietnam)"	3	"Complex tone system"	21.9166666667	106.416666667	"Kam-Tai"	"Tai-Kadai"	"Phonology"	"Eurasia"
"nug"	"Nunggubuyu"	1	"No tones"	-13.75	135.666666667	"Nunggubuyu"	"Gunwinyguan"	"Phonology"	"Australia"
"nuu"	"Nuuchahnulth"	1	"No tones"	49.6666666667	-126.666666667	"Southern Wakashan"	"Wakashan"	"Phonology"	"North America"
"nkt"	"Nyah Kur (Tha Pong)"	2	"Simple tone system"	15.6666666667	101.666666667	"Monic"	"Austro-Asiatic"	"Phonology"	"Eurasia"
"nyg"	"Nyangi"	2	"Simple tone system"	3.41666666667	33.5833333333	"Kuliak"	"Eastern Sudanic"	"Phonology"	"Africa"
"nyi"	"Nyimang"	3	"Complex tone system"	12.1666666667	29.3333333333	"Nyimang"	"Eastern Sudanic"	"Phonology"	"Africa"
"nis"	"Nyishi"	2	"Simple tone system"	27.5	93.5	"Tani"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"ood"	"O'odham"	1	"No tones"	32	-112	"Tepiman"	"Uto-Aztecan"	"Phonology"	"North America"
"oca"	"Ocaina"	2	"Simple tone system"	-2.75	-71.75	"Huitoto"	"Huitotoan"	"Phonology"	"South America"
"ogb"	"Ogbia"	2	"Simple tone system"	4.66666666667	6.25	"Cross River"	"Niger-Congo"	"Phonology"	"Africa"
"oji"	"Ojibwa (Eastern)"	1	"No tones"	46	-80	"Algonquian"	"Algic"	"Phonology"	"North America"
"ond"	"Oneida"	2	"Simple tone system"	43	-75.6666666667	"Northern Iroquoian"	"Iroquoian"	"Phonology"	"North America"
"orm"	"Ormuri"	1	"No tones"	32.5	69.75	"Iranian"	"Indo-European"	"Phonology"	"Eurasia"
"orh"	"Oromo (Harar)"	3	"Complex tone system"	9	42	"Lowland East Cushitic"	"Afro-Asiatic"	"Phonology"	"Africa"
"otm"	"Otomí (Mezquital)"	2	"Simple tone system"	20.1666666667	-99.1666666667	"Otomian"	"Oto-Manguean"	"Phonology"	"North America"
"pms"	"Paamese"	1	"No tones"	-16.5	168.25	"Oceanic"	"Austronesian"	"Phonology"	"Papunesia"
"pac"	"Pacoh"	1	"No tones"	16.4166666667	107.083333333	"Katuic"	"Austro-Asiatic"	"Phonology"	"Eurasia"
"pai"	"Paiwan"	1	"No tones"	22.5	120.833333333	"Paiwan"	"Austronesian"	"Phonology"	"Papunesia"
"pnr"	"Panare"	1	"No tones"	6.5	-66	"Cariban"	"Cariban"	"Phonology"	"South America"
"puk"	"Parauk"	1	"No tones"	23.25	99.5	"Palaungic"	"Austro-Asiatic"	"Phonology"	"Eurasia"
"psh"	"Pashto"	1	"No tones"	33	67	"Iranian"	"Indo-European"	"Phonology"	"Eurasia"
"psm"	"Passamaquoddy-Maliseet"	2	"Simple tone system"	45	-67	"Algonquian"	"Algic"	"Phonology"	"North America"
"pau"	"Paumarí"	1	"No tones"	-6	-64	"Arauan"	"Arauan"	"Phonology"	"South America"
"paw"	"Pawaian"	2	"Simple tone system"	-7	145.083333333	"Pawaian"	"Teberan-Pawaian"	"Phonology"	"Papunesia"
"pec"	"Pech"	2	"Simple tone system"	15	-85.5	"Paya"	"Chibchan"	"Phonology"	"North America"
"prs"	"Persian"	1	"No tones"	32	54	"Iranian"	"Indo-European"	"Phonology"	"Eurasia"
"phl"	"Phlong"	3	"Complex tone system"	15	99	"Karen"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"prh"	"Pirahã"	2	"Simple tone system"	-7	-62	"Mura"	"Mura"	"Phonology"	"South America"
"pit"	"Pitjantjatjara"	1	"No tones"	-26	130	"Western Pama-Nyungan"	"Pama-Nyungan"	"Phonology"	"Australia"
"poa"	"Po-Ai"	3	"Complex tone system"	-20.6666666667	164.833333333	"Oceanic"	"Austronesian"	"Phonology"	"Papunesia"
"poh"	"Pohnpeian"	1	"No tones"	6.88333333333	158.25	"Oceanic"	"Austronesian"	"Phonology"	"Papunesia"
"pol"	"Polish"	1	"No tones"	52	20	"Slavic"	"Indo-European"	"Phonology"	"Eurasia"
"pur"	"Purépecha"	1	"No tones"	19.5	-101.666666667	"Tarascan"	"Tarascan"	"Phonology"	"North America"
"pae"	"Páez"	1	"No tones"	2.66666666667	-76	"Páezan"	"Páezan"	"Phonology"	"South America"
"bng"	"Qaget"	1	"No tones"	-4.58333333333	152	"Baining"	"Baining"	"Phonology"	"Papunesia"
"qaw"	"Qawasqar"	1	"No tones"	-49	-75	"Alacalufan"	"Alacalufan"	"Phonology"	"South America"
"qco"	"Quechua (Cochabamba)"	1	"No tones"	-17.5	-66	"Quechuan"	"Quechuan"	"Phonology"	"South America"
"qui"	"Quileute"	2	"Simple tone system"	47.9166666667	-124.25	"Chimakuan"	"Chimakuan"	"Phonology"	"North America"
"ram"	"Rama"	1	"No tones"	11.75	-83.75	"Rama"	"Chibchan"	"Phonology"	"North America"
"rap"	"Rapanui"	1	"No tones"	-27.1166666667	-109.366666667	"Oceanic"	"Austronesian"	"Phonology"	"Papunesia"
"res"	"Resígaro"	2	"Simple tone system"	-2.41666666667	-71.5	"Inland Northern Arawakan"	"Arawakan"	"Phonology"	"South America"
"rom"	"Romanian"	1	"No tones"	46	25	"Romance"	"Indo-European"	"Phonology"	"Eurasia"
"rsc"	"Romansch (Scharans)"	1	"No tones"	46.75	9.5	"Romance"	"Indo-European"	"Phonology"	"Eurasia"
"ror"	"Roro"	1	"No tones"	-8.75	146.583333333	"Oceanic"	"Austronesian"	"Phonology"	"Papunesia"
"rtk"	"Rotokas"	1	"No tones"	-6	155.166666667	"West Bougainville"	"West Bougainville"	"Phonology"	"Papunesia"
"ruk"	"Rukai (Tanan)"	1	"No tones"	22.8333333333	120.833333333	"Rukai"	"Austronesian"	"Phonology"	"Papunesia"
"rus"	"Russian"	1	"No tones"	56	38	"Slavic"	"Indo-European"	"Phonology"	"Eurasia"
"rut"	"Rutul"	2	"Simple tone system"	41.5	47.4166666667	"Lezgic"	"Nakh-Daghestanian"	"Phonology"	"Eurasia"
"scs"	"Saami (Central-South)"	1	"No tones"	64.6666666667	16.75	"Saami"	"Uralic"	"Phonology"	"Eurasia"
"sdw"	"Sandawe"	2	"Simple tone system"	-5	35	"Sandawe"	"Sandawe"	"Phonology"	"Africa"
"san"	"Sango"	2	"Simple tone system"	5	18	"Ubangi"	"Niger-Congo"	"Phonology"	"Africa"
"snm"	"Sanuma"	1	"No tones"	4.5	-64.6666666667	"Yanomam"	"Yanomam"	"Phonology"	"South America"
"svs"	"Savosavo"	1	"No tones"	-9.13333333333	159.8	"Savosavo"	"Solomons East Papuan"	"Phonology"	"Papunesia"
"sed"	"Sedang"	1	"No tones"	14.8333333333	108	"Bahnaric"	"Austro-Asiatic"	"Phonology"	"Eurasia"
"sel"	"Selknam"	1	"No tones"	-53	-70	"Chon Proper"	"Chon"	"Phonology"	"South America"
"sml"	"Semelai"	1	"No tones"	3	103	"Aslian"	"Austro-Asiatic"	"Phonology"	"Eurasia"
"snd"	"Senadi"	3	"Complex tone system"	9.5	-6.25	"Senufo"	"Niger-Congo"	"Phonology"	"Africa"
"snc"	"Seneca"	1	"No tones"	42.5	-77.5	"Northern Iroquoian"	"Iroquoian"	"Phonology"	"North America"
"sha"	"Shan"	3	"Complex tone system"	22	98	"Kam-Tai"	"Tai-Kadai"	"Phonology"	"Eurasia"
"shs"	"Shasta"	2	"Simple tone system"	41.8333333333	-122.666666667	"Shasta"	"Hokan"	"Phonology"	"North America"
"shk"	"Shipibo-Konibo"	1	"No tones"	-7.5	-75	"Panoan"	"Panoan"	"Phonology"	"South America"
"shi"	"Shiriana"	1	"No tones"	3.5	-62.8333333333	"Yanomam"	"Yanomam"	"Phonology"	"South America"
"shu"	"Shuswap"	1	"No tones"	52	-120	"Interior Salish"	"Salishan"	"Phonology"	"North America"
"sdh"	"Sindhi"	1	"No tones"	26	69	"Indic"	"Indo-European"	"Phonology"	"Eurasia"
"snh"	"Sinhala"	1	"No tones"	7	80.5	"Indic"	"Indo-European"	"Phonology"	"Eurasia"
"srn"	"Sirionó"	1	"No tones"	-15.5833333333	-64	"Tupi-Guaraní"	"Tupian"	"Phonology"	"South America"
"sla"	"Slave"	2	"Simple tone system"	67	-125	"Athapaskan"	"Na-Dene"	"Phonology"	"North America"
"som"	"Somali"	2	"Simple tone system"	3	45	"Lowland East Cushitic"	"Afro-Asiatic"	"Phonology"	"Africa"
"soq"	"Soqotri"	1	"No tones"	12.5	54	"Semitic"	"Afro-Asiatic"	"Phonology"	"Africa"
"sor"	"Sora"	1	"No tones"	20	84.3333333333	"Munda"	"Austro-Asiatic"	"Phonology"	"Eurasia"
"spa"	"Spanish"	1	"No tones"	40	-4	"Romance"	"Indo-European"	"Phonology"	"Eurasia"
"squ"	"Squamish"	1	"No tones"	49.6666666667	-123.166666667	"Central Salish"	"Salishan"	"Phonology"	"North America"
"sre"	"Sre"	2	"Simple tone system"	11.5	108	"Bahnaric"	"Austro-Asiatic"	"Phonology"	"Eurasia"
"sue"	"Suena"	2	"Simple tone system"	-7.75	147.55	"Binanderean"	"Trans-New Guinea"	"Phonology"	"Papunesia"
"sui"	"Sui"	3	"Complex tone system"	26	107.5	"Kam-Tai"	"Tai-Kadai"	"Phonology"	"Eurasia"
"sup"	"Supyire"	3	"Complex tone system"	11.5	-5.58333333333	"Senufo"	"Niger-Congo"	"Phonology"	"Africa"
"swa"	"Swahili"	1	"No tones"	-6.5	39	"Bantoid"	"Niger-Congo"	"Phonology"	"Africa"
"sba"	"Sáliba (in Colombia)"	1	"No tones"	6	-70	"Sáliba"	"Sáliban"	"Phonology"	"South America"
"tab"	"Taba"	1	"No tones"	0	127.5	"South Halmahera - West New Guinea"	"Austronesian"	"Phonology"	"Papunesia"
"tac"	"Tacana"	1	"No tones"	-13.5	-68	"Tacanan"	"Tacanan"	"Phonology"	"South America"
"tag"	"Tagalog"	1	"No tones"	15	121	"Greater Central Philippine"	"Austronesian"	"Phonology"	"Papunesia"
"tma"	"Tama"	3	"Complex tone system"	14.5	22	"Taman"	"Eastern Sudanic"	"Phonology"	"Africa"
"tam"	"Tamang (Eastern)"	2	"Simple tone system"	27.5	85.666666666667	"Bodic"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"tmp"	"Tampulma"	2	"Simple tone system"	10.4166666667	-0.583333333333	"Southern-Central Gur"	"Niger-Congo"	"Phonology"	"Africa"
"tok"	"Tarok"	3	"Complex tone system"	9	10.0833333333	"Platoid"	"Niger-Congo"	"Phonology"	"Africa"
"tas"	"Tashlhiyt"	1	"No tones"	31	-5	"Berber"	"Afro-Asiatic"	"Phonology"	"Africa"
